Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
ROSLYN,1904,0.065,0.016,0,0.081,20230401,20230630
SOUTH CLE ELUM,1905,0.065,0.016,0,0.081,20230401,20230630
KLICKITAT COUNTY,2000,0.065,0.01,0,0.075,20230401,20230630
BINGEN,2001,0.065,0.01,0,0.075,20230401,20230630
GOLDENDALE,2002,0.065,0.01,0,0.075,20230401,20230630
WHITE SALMON,2003,0.065,0.01,0,0.075,20230401,20230630
LEWIS COUNTY,2100,0.065,0.013,0,0.078,20230401,20230630
CENTRALIA,2101,0.065,0.017,0,0.082,20230401,20230630
CHEHALIS,2102,0.065,0.017,0,0.082,20230401,20230630
MORTON,2103,0.065,0.013,0,0.078,20230401,20230630
MOSSYROCK,2104,0.065,0.013,0,0.078,20230401,20230630
NAPAVINE,2105,0.065,0.013,0,0.078,20230401,20230630
PE ELL,2106,0.065,0.013,0,0.078,20230401,20230630
TOLEDO,2107,0.065,0.013,0,0.078,20230401,20230630
VADER,2108,0.065,0.013,0,0.078,20230401,20230630
WINLOCK,2109,0.065,0.013,0,0.078,20230401,20230630
CHEHALIS TRIBES - LEWIS COUNTY,2111,0.065,0.013,0,0.078,20230401,20230630
LINCOLN COUNTY,2200,0.065,0.015,0,0.08,20230401,20230630
ALMIRA,2201,0.065,0.015,0,0.08,20230401,20230630
CRESTON,2202,0.065,0.015,0,0.08,20230401,20230630
DAVENPORT,2203,0.065,0.015,0,0.08,20230401,20230630
HARRINGTON,2204,0.065,0.015,0,0.08,20230401,20230630
ODESSA,2205,0.065,0.015,0,0.08,20230401,20230630
REARDAN,2206,0.065,0.015,0,0.08,20230401,20230630
SPRAGUE,2207,0.065,0.015,0,0.08,20230401,20230630
WILBUR,2208,0.065,0.015,0,0.08,20230401,20230630
MASON COUNTY,2300,0.065,0.02,0,0.085,20230401,20230630
SHELTON,2301,0.065,0.023,0,0.088,20230401,20230630
SQUAXIN ISLAND TRIBE - MASON COUNTY,2303,0.065,0.02,0,0.085,20230401,20230630
OKANOGAN COUNTY,2400,0.065,0.015,0,0.08,20230401,20230630
BREWSTER,2401,0.065,0.019,0,0.084,20230401,20230630
CONCONULLY,2402,0.065,0.019,0,0.084,20230401,20230630
